rainfall_mm,groundwater_depth,water_balance,month,month_sin,month_cos
120.0,0,95.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,-52.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,27.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,87.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,37.0,7,-0.4999999999999998,-0.8660254037844388
