rainfall_mm,groundwater_depth,water_balance,month,month_sin,month_cos
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,51.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,51.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,51.0,7,-0.4999999999999998,-0.8660254037844388
140.0,0,71.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,45.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,55.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,52.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,42.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,52.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,-18.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,12.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,42.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,82.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,32.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,44.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,42.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,41.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,21.0,7,-0.4999999999999998,-0.8660254037844388
120.0,0,71.0,7,-0.4999999999999998,-0.8660254037844388
