time,rainfall_mm,groundwater_depth,pumping_hours,recharge_mm,evapotranspiration_mm,surface_inflow,surface_outflow,deep_percolation,water_balance
2026-07-21 10:28:44.442431+00:00,120.0,0,0,30.0,60.0,82.0,22.0,55.0,95.0
2026-07-21 14:05:19.980932+00:00,120.0,0,0,30.0,60.0,28.0,22.0,55.0,41.0
2026-07-21 16:09:47.607834+00:00,120.0,0,0,30.0,60.0,28.0,22.0,55.0,41.0
2026-07-21 16:10:57.699199+00:00,120.0,0,0,30.0,60.0,28.0,22.0,55.0,41.0
2026-07-21 16:35:46.288521+00:00,120.0,0,0,-1.0,60.0,74.0,130.0,55.0,-52.0
2026-07-21 17:05:19.468554+00:00,120.0,0,0,30.0,60.0,28.0,22.0,55.0,41.0
2026-07-21 17:25:41.830972+00:00,120.0,0,0,30.0,60.0,28.0,22.0,55.0,41.0
2026-07-21 17:26:35.596852+00:00,120.0,0,0,30.0,60.0,14.0,22.0,55.0,27.0
2026-07-21 17:26:42.841311+00:00,120.0,0,0,30.0,0.0,14.0,22.0,55.0,87.0
2026-07-21 17:26:51.071646+00:00,120.0,0,0,30.0,50.0,14.0,22.0,55.0,37.0
